canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
385,sku:CA4T,CA4T,City Active Top,Sustainable | Tops,Tops,Short Sleeve | Sustainable,Corporate | Education | Government,ready,,
386,sku:2277,2277,Petal Print Top,Sustainable | Tops,Tops,Short Sleeve | Sustainable,Corporate | Education | Government,ready,,
387,sku:1805WL,1805WL,Marni 1/2 Placket Top,Sustainable | Tops,Tops,Long Sleeve | Sustainable,Corporate | Education | Government,ready,,
388,sku:T207MS,T207MS,Men's Action Short Sleeve Tee,Sustainable | Tees & Singlets,Tops,Tees | Short Sleeve | Sustainable,Teamwear & Fitness | Retail,ready,,
389,sku:2281,2281,Heart Print Tunic,Sustainable | Tunics,Tops,Scrubs | Tunics | Sustainable,Healthcare,ready,,
390,sku:2284,2284,Zip Back Tunic,Sustainable | Tunics,Tops,Scrubs | Tunics | Sustainable,Healthcare,ready,,
391,sku:T10022,T10022,Ladies Ice Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Healthcare | Education,ready,,
392,sku:T10012,T10012,Men's Ice Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Healthcare | Education,ready,,
393,sku:4001W,4001W,Women's Maple Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality,ready,,
394,sku:1204,1204,Eureka Men's Tees,Tees & Singlets,Tops,Tees | Short Sleeve,Workwear & Hi-Vis | Automotive,ready,,
395,sku:5026,5026,Men's Classic Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
396,sku:4001G,4001G,Maple Organic Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Education,ready,,
397,sku:5050,5050,Men's Block Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Retail | Hospitality | Teamwear & Fitness,ready,,
398,sku:5038,5038,Men's Plus Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality,ready,,
399,sku:5001G,5001G,Men's Staple Organic Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Education,ready,,
400,sku:5001,5001,Men's Staple Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
401,sku:5052,5052,Men's State Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Retail | Hospitality | Teamwear & Fitness,ready,,
402,sku:5044,5044,Men's Classic Stripe Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Hospitality | Retail | Corporate,ready,,
403,sku:5053,5053,Men's Ringer Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Retail | Hospitality | Teamwear & Fitness,ready,,
404,sku:4037,4037,Wo's Maple Stripe Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Retail | Hospitality | Corporate,ready,,
405,sku:4073,4073,Wo's Classic L/S Tee,Tees & Singlets,Tops,Tees | Long Sleeve,Corporate | Retail | Hospitality,ready,,
406,sku:5071,5071,Classic L/S Tee,Tees & Singlets,Tops,Tees | Long Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
407,sku:X2001M,X2001M,Everyday Short Sleeve Tee Men's,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
408,sku:X1001M,X1001M,Basis Short Sleeve Tee Men's,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
409,sku:X1002M,X1002M,Black Men's Basis Long Sleeve Tee,Tees & Singlets,Tops,Tees | Long Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
410,sku:X2001W,X2001W,Women's Everyday Short Sleeve Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
411,sku:X1001W,X1001W,Women's Basis Short Sleeve Tee,Tees & Singlets,Tops,Tees | Short Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
412,sku:X1002W,X1002W,Women's Basis Long Sleeve Tee,Tees & Singlets,Tops,Tees | Long Sleeve,Corporate | Retail | Hospitality | Teamwear & Fitness,ready,,
413,sku:1800WZ,1800WZ,Ladies Reese V Neck Top,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
414,sku:1803WZ,1803WZ,Cleo V Neck Shirred Cuff Top,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
415,sku:1799WZ,1799WZ,Lola 3/4 Sleeve Shirred Cuff Top,Tops,Tops,3/4 Sleeve,Corporate | Education | Government,ready,,
416,sku:RT065LS,RT065LS,Sydney T-Top,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
417,sku:CS952LS,CS952LS,Women's Marley Jersey T-Top,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
418,sku:S626LL,S626LL,Ladies Madison Long Sleeve Blouse,Tops,Tops,Long Sleeve,Corporate | Education | Government,ready,,
419,sku:RU568LS,RU568LS,Women's Ruche Short Sleeve Blouse,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
420,sku:S828LL,S828LL,Ladies Madison Boatneck Blouse,Tops,Tops,Long Sleeve,Corporate | Education | Government,ready,,
421,sku:RU568LL,RU568LL,Women's Ruche Long Sleeve Blouse,Tops,Tops,Long Sleeve,Corporate | Education | Government,ready,,
422,sku:RB966LS,RB966LS,Women's Aria Fluted Sleeve Blouse,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
423,sku:RB967LS,RB967LS,Women's Kayla V-Neck Pleat Blouse,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
424,sku:RB973LN,RB973LN,Women's Estelle Pleat Blouse,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
425,sku:2291,2291,Smart Knit Top,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
426,sku:2290,2290,Smart Knit 3/4,Tops,Tops,3/4 Sleeve,Corporate | Education | Government,ready,,
427,sku:1798WS,1798WS,Taylor Top,Tops,Tops,Short Sleeve,Corporate | Education | Government,ready,,
428,sku:1797WL,1797WL,Quinn Top,Tops,Tops,Long Sleeve,Corporate | Education | Government,ready,,
429,sku:2174,2174,City Stretch® Spot Tunic,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
430,sku:CS450LS,CS450LS,Women's Florence Stardust Print Tunic,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
431,sku:CS950LS,CS950LS,Women's Florence Daisy Print Tunic,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
432,sku:2280,2280,4 Way Stretch Tunic,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
433,sku:RT262LS,RT262LS,Marli Stretch Tunic T-Top,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
434,sku:CS949LS,CS949LS,Ladies Florence Tunic,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
435,sku:2151CC,2151CC,Ezylin Tunic,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
436,sku:CST945MS,CST945MS,Avery Men's V-Neck Scrub Top,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
437,sku:CST942LS,CST942LS,Avery Women's Round Neck Scrub Top,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
438,sku:CST941LS,CST941LS,Avery Women's V-Neck Scrub Top,Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
