canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
221,sku:2LPS,2LPS,Ladies 210 Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Healthcare | Education,ready,,
222,sku:P901MS,P901MS,Men's Sonar Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Retail,ready,,
223,sku:P112LS,P112LS,Ladies Ice Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Healthcare,ready,,
224,sku:P700LS,P700LS,Ladies Renegade Polo,Polos,Tops,Short Sleeve | Polos,Teamwear & Fitness | Retail,ready,,
225,sku:P112MS,P112MS,Men's Ice Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Healthcare,ready,,
226,sku:P400ML,P400ML,Crew Men's L/S Polo,Polos,Tops,Long Sleeve | Polos,Corporate | Hospitality | Retail,ready,,
227,sku:1054,1054,Glacier Men's S/S Polos,Polos,Tops,Short Sleeve | Polos,Workwear & Hi-Vis | Automotive,ready,,
228,sku:210XL,210XL,L/S 210 Polo,Polos,Tops,Long Sleeve | Polos,Corporate | Healthcare | Education | Government,ready,,
229,sku:210,210,210 Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Healthcare | Education | Government,ready,,
230,sku:1154,1154,Glacier Ladies S/S Polos,Polos,Tops,Short Sleeve | Polos,Workwear & Hi-Vis | Automotive,ready,,
231,sku:PS91,PS91,Men's Sustainable Poly/Cotton Corporate SS Polo,Polos | Sustainable,Tops,Short Sleeve | Sustainable | Polos,Corporate | Government | Education | Healthcare,ready,,
232,sku:PS92,PS92,Ladies Sustainable Poly/Cotton Corporate SS Polo,Polos | Sustainable,Tops,Short Sleeve | Sustainable | Polos,Corporate | Government | Education | Healthcare,ready,,
233,blank:polos:men-s-city-polo,,Men's City Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Hospitality | Retail,ready,,
234,sku:2053,2053,Silvertech Polo - Men's,Polos,Tops,Short Sleeve | Polos,Healthcare | Corporate,ready,,
235,sku:P400LL,P400LL,Crew Ladies L/S Polo,Polos,Tops,Long Sleeve | Polos,Corporate | Hospitality | Retail,ready,,
236,sku:1161,1161,Freshen Polo - Ladies,Polos,Tops,Short Sleeve | Polos,Government,ready,,
237,sku:P227LS,P227LS,Ladies Cambridge Polo,Polos,Tops,Short Sleeve | Polos,Corporate | Education | Government,ready,,
