canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
111,sku:ZP504,ZP504,Men's Rugged Cooling Cargo Pant (Regular),Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
112,sku:ZP230,ZP230,Men's Essential Basic Stretch Cargo Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
113,sku:ZP730,ZP730,Women's Essential Basic Stretch Cargo Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
114,sku:ZP735,ZP735,Women's Essential Stretch Taped Cargo Pant - Cuffed,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
115,sku:ZP935,ZP935,Men's Essential Stretch Taped Cargo Pant - Cuffed,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
116,sku:BPC6088T,BPC6088T,Recycle Taped Biomotion Cargo Work Pant,Hi Vis & Workwear | Sustainable,Workwear & Hi-vis,Workwear | Pants | Sustainable,Workwear & Hi-Vis,ready,,
117,sku:ZS146,ZS146,Men's Summer Cargo Short,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Shorts,Workwear & Hi-Vis,ready,,
118,sku:ZP923,ZP923,Men's Essential Stretch Taped Cargo Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
119,sku:ZP733,ZP733,Women's Essential Stretch Taped Cargo Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
120,sku:BPC6334T,BPC6334T,Flx And Move™ Taped Stretch Cargo Cuffed Pants,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
121,sku:ZP501,ZP501,Men's Basic Cargo Pant (Regular),Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
122,sku:ZS502,ZS502,Men's Basic Cargo Short,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Shorts,Workwear & Hi-Vis,ready,,
123,sku:ZP505,ZP505,Men's Lightweight Drill Cargo Pant,Hi Vis & Workwear,Workwear & Hi-vis,Workwear | Pants,Workwear & Hi-Vis,ready,,
